scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],5,"lr0.003,wd0.0",6,"lr=1e-04, wd=0.01",16825413662.0802,7
[8],5,"lr0.003,wd0.0",5,"lr=1e-04, wd=0.0",18335053037.6125,8
[8],5,"lr0.003,wd0.0",3,"lr=3e-05, wd=0.0",21709121611.3475,9
[8],5,"lr0.003,wd0.0",4,"lr=3e-05, wd=0.01",21738425457.956,10
[8],5,"lr0.003,wd0.0",2,"lr=1e-05, wd=0.01",24629167818.4565,11
[8],5,"lr0.003,wd0.0",1,"lr=1e-05, wd=0.0",24645285517.925,12
[8],5,"lr0.003,wd0.01",5,"lr=1e-04, wd=0.0",9068409176.3947,1
[8],5,"lr0.003,wd0.01",3,"lr=3e-05, wd=0.0",9678003767.654,2
[8],5,"lr0.003,wd0.01",10,"lr=0.001, wd=0.01",9876112844.0044,3
[8],5,"lr0.003,wd0.01",6,"lr=1e-04, wd=0.01",10025577047.1284,4
[8],5,"lr0.003,wd0.01",4,"lr=3e-05, wd=0.01",10065971046.2013,5
[8],5,"lr0.003,wd0.01",12,"lr=0.003, wd=0.01",11126884339.5065,6
[8],5,"lr0.003,wd0.01",8,"lr=3e-04, wd=0.01",11451533803.7766,7
[8],5,"lr0.003,wd0.01",7,"lr=3e-04, wd=0.0",11754172484.6865,8
[8],5,"lr0.003,wd0.01",2,"lr=1e-05, wd=0.01",12020952235.0613,9
[8],5,"lr0.003,wd0.01",1,"lr=1e-05, wd=0.0",12136033181.8039,10
[8],5,"lr0.003,wd0.01",9,"lr=0.001, wd=0.0",13760986252.4836,11
[8],5,"lr0.003,wd0.01",11,"lr=0.003, wd=0.0",13967313755.8539,12
[8],10,"lr1e-05,wd0.0",10,"lr=0.001, wd=0.01",985734465.8217,1
[8],10,"lr1e-05,wd0.0",12,"lr=0.003, wd=0.01",1250399937.6265,2
[8],10,"lr1e-05,wd0.0",2,"lr=1e-05, wd=0.01",1743090823.5802,3
[8],10,"lr1e-05,wd0.0",1,"lr=1e-05, wd=0.0",1897167778.8088,4
[8],10,"lr1e-05,wd0.0",3,"lr=3e-05, wd=0.0",2453235736.4293,5
[8],10,"lr1e-05,wd0.0",4,"lr=3e-05, wd=0.01",2624796810.1336,6
[8],10,"lr1e-05,wd0.0",11,"lr=0.003, wd=0.0",3583166493.1148,7
[8],10,"lr1e-05,wd0.0",5,"lr=1e-04, wd=0.0",5022192677.1328,8
[8],10,"lr1e-05,wd0.0",6,"lr=1e-04, wd=0.01",5829117730.5777,9
[8],10,"lr1e-05,wd0.0",8,"lr=3e-04, wd=0.01",6728029322.1026,10
[8],10,"lr1e-05,wd0.0",7,"lr=3e-04, wd=0.0",6770611133.3762,11
[8],10,"lr1e-05,wd0.0",9,"lr=0.001, wd=0.0",7264461723.5869,12
