scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],5,"lr0.003,wd0.0",1,"lr=1e-05, wd=0.0",-1.2347,12
[8],5,"lr0.003,wd0.01",11,"lr=0.003, wd=0.0",-2.1313,1
[8],5,"lr0.003,wd0.01",9,"lr=0.001, wd=0.0",-2.0721,2
[8],5,"lr0.003,wd0.01",12,"lr=0.003, wd=0.01",-2.0385,3
[8],5,"lr0.003,wd0.01",8,"lr=3e-04, wd=0.01",-2.0232,4
[8],5,"lr0.003,wd0.01",7,"lr=3e-04, wd=0.0",-1.9848,5
[8],5,"lr0.003,wd0.01",10,"lr=0.001, wd=0.01",-1.9803,6
[8],5,"lr0.003,wd0.01",2,"lr=1e-05, wd=0.01",-1.9345,7
[8],5,"lr0.003,wd0.01",1,"lr=1e-05, wd=0.0",-1.9208,8
[8],5,"lr0.003,wd0.01",4,"lr=3e-05, wd=0.01",-1.8292,9
[8],5,"lr0.003,wd0.01",6,"lr=1e-04, wd=0.01",-1.827,10
[8],5,"lr0.003,wd0.01",3,"lr=3e-05, wd=0.0",-1.7746,11
[8],5,"lr0.003,wd0.01",5,"lr=1e-04, wd=0.0",-1.7698,12
[8],10,"lr1e-05,wd0.0",7,"lr=3e-04, wd=0.0",-2.316,1
[8],10,"lr1e-05,wd0.0",11,"lr=0.003, wd=0.0",-2.2929,2
[8],10,"lr1e-05,wd0.0",5,"lr=1e-04, wd=0.0",-2.1944,3
[8],10,"lr1e-05,wd0.0",8,"lr=3e-04, wd=0.01",-2.1782,4
[8],10,"lr1e-05,wd0.0",9,"lr=0.001, wd=0.0",-2.1526,5
[8],10,"lr1e-05,wd0.0",6,"lr=1e-04, wd=0.01",-2.1472,6
[8],10,"lr1e-05,wd0.0",12,"lr=0.003, wd=0.01",-2.1218,7
[8],10,"lr1e-05,wd0.0",3,"lr=3e-05, wd=0.0",-2.0992,8
[8],10,"lr1e-05,wd0.0",4,"lr=3e-05, wd=0.01",-2.0575,9
[8],10,"lr1e-05,wd0.0",10,"lr=0.001, wd=0.01",-2.0244,10
[8],10,"lr1e-05,wd0.0",1,"lr=1e-05, wd=0.0",-1.9363,11
[8],10,"lr1e-05,wd0.0",2,"lr=1e-05, wd=0.01",-1.9028,12
[8],10,"lr1e-05,wd0.01",11,"lr=0.003, wd=0.0",-2.4871,1
[8],10,"lr1e-05,wd0.01",7,"lr=3e-04, wd=0.0",-2.4513,2
[8],10,"lr1e-05,wd0.01",9,"lr=0.001, wd=0.0",-2.323,3
[8],10,"lr1e-05,wd0.01",5,"lr=1e-04, wd=0.0",-2.3059,4
[8],10,"lr1e-05,wd0.01",8,"lr=3e-04, wd=0.01",-2.2916,5
[8],10,"lr1e-05,wd0.01",6,"lr=1e-04, wd=0.01",-2.2634,6
[8],10,"lr1e-05,wd0.01",12,"lr=0.003, wd=0.01",-2.2315,7
[8],10,"lr1e-05,wd0.01",3,"lr=3e-05, wd=0.0",-2.2006,8
[8],10,"lr1e-05,wd0.01",4,"lr=3e-05, wd=0.01",-2.1922,9
[8],10,"lr1e-05,wd0.01",10,"lr=0.001, wd=0.01",-2.1445,10
[8],10,"lr1e-05,wd0.01",1,"lr=1e-05, wd=0.0",-2.0594,11
[8],10,"lr1e-05,wd0.01",2,"lr=1e-05, wd=0.01",-2.051,12
